,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,Date and Time
0,Vaini,IN,15.34,77.0,36,0,5.82,1546952400
1,Salalah,OM,17.01,78.8,57,40,5.82,1546955400
2,Naryan-Mar,RU,67.67,-19.57,28,0,3.13,1546956949
3,Jamestown,AU,-33.21,56.53,85,0,7.61,1546956950
4,Ushuaia,AR,-54.81,44.6,87,90,13.87,1546956000
5,Tuktoyaktuk,CA,69.44,-12.73,82,32,7.38,1546956950
6,Brokopondo,SR,5.06,82.4,74,75,11.41,1546956000
7,Palauig,PH,15.44,73.45,95,0,5.37,1546956951
8,Cape Town,ZA,-33.93,73.4,64,20,25.28,1546956000
9,Nouakchott,MR,18.08,84.2,7,0,10.29,1546954200
10,Hermiston,US,45.84,32.76,69,90,8.05,1546955700
11,Bluff,AU,-23.58,70.08,92,80,10.63,1546956952
12,Namibe,AO,-15.19,74.98,100,12,11.07,1546956953
13,Cockburn Town,TC,21.46,75.3,100,80,16.67,1546956953
14,Mar del Plata,AR,-46.43,60.54,41,0,18.23,1546956953
15,Yumen,CN,40.29,2.76,71,68,3.13,1546956953
16,Punta Arenas,CL,-53.16,49.06,61,40,17.22,1546956000
17,Busselton,AU,-33.64,72.28,87,0,17.67,1546956954
18,Qaanaaq,GL,77.48,-15.97,90,0,8.72,1546956954
19,Hilo,US,19.71,64.94,81,1,4.7,1546955580
20,Rikitea,PF,-23.12,80.38,95,56,15.77,1546956954
21,San Blas,MX,21.54,64.81,75,24,3.8,1546956955
22,Nyrob,RU,60.74,17.38,86,80,11.41,1546956955
23,Nova Olimpia,BR,-14.8,82.18,99,32,4.7,1546956956
24,Hay River,CA,60.82,-9.41,76,90,3.36,1546952400
25,Mount Isa,AU,-20.73,93.2,12,0,10.29,1546954200
26,Fortuna,ES,38.18,59.54,55,0,8.05,1546954200
27,Karratha,AU,-20.74,83.04,61,0,7.94,1546956957
28,Sultepec,MX,20.14,50.28,79,12,1.57,1546956957
29,Gombong,ID,-7.19,73.0,96,48,2.13,1546956957
30,Mount Gambier,AU,-37.83,55.4,93,75,9.17,1546952400
31,Sapernoye,RU,60.72,27.69,91,88,3.69,1546956958
32,Clyde River,CA,70.47,-11.21,76,90,6.93,1546955040
33,Hasaki,JP,35.73,34.65,74,0,6.93,1546956000
34,Hermanus,ZA,-34.42,71.38,64,80,7.61,1546956959
35,Atuona,PF,-9.8,80.11,100,76,13.76,1546956959
36,Grand-Lahou,CI,5.24,92.8,49,8,4.47,1546956960
37,Ostrovnoy,RU,68.05,15.09,90,88,14.43,1546956960
38,Butaritari,KI,3.07,82.27,100,36,10.74,1546956960
39,Vestmannaeyjar,IS,63.44,41.0,86,75,19.46,1546952400
40,Tasiilaq,GL,65.61,32.0,95,92,41.38,1546955400
41,Kondinskoye,RU,59.65,12.43,85,92,7.16,1546956961
42,Geraldton,CA,49.72,28.4,79,90,11.41,1546952400
43,Nikolayevsk-na-amure,RU,53.14,-5.35,69,0,11.97,1546956961
44,Luanda,AO,-8.83,86.0,62,40,10.29,1546956000
45,Albany,US,42.65,31.82,75,90,16.11,1546955820
46,Yellowknife,CA,62.45,-16.61,68,90,3.58,1546952400
47,Coquimbo,CL,-29.95,69.8,60,0,10.29,1546956000
48,Kaitangata,NZ,-46.28,50.55,92,32,9.84,1546956962
49,Avera,US,33.19,49.8,92,1,3.36,1546955700
50,Bainbridge,US,30.9,49.14,93,48,3.58,1546955040
51,Georgetown,GY,6.8,82.4,74,40,13.87,1546952400
52,Ponta do Sol,BR,-20.63,87.99,58,0,6.71,1546956964
53,Anloga,GH,5.79,95.0,20,20,5.82,1546952400
54,Passos,BR,-20.72,86.19,67,0,6.26,1546956964
55,Ilulissat,GL,69.22,17.6,78,90,3.36,1546955400
56,Bethel,US,60.79,4.66,84,90,11.41,1546956420
57,Doha,QA,25.29,74.64,69,0,6.93,1546956000
58,Olinda,EC,-2.03,75.2,94,90,5.82,1546956000
59,Carnarvon,ZA,-30.97,93.21,9,12,13.65,1546956966
60,Saldanha,PT,41.42,47.71,60,0,4.7,1546956966
61,Oriximina,BR,-1.77,83.53,74,68,4.59,1546956966
62,Saint-Joseph,FR,43.56,55.4,47,80,16.11,1546954200
63,Iqaluit,CA,63.75,-29.21,66,20,2.24,1546952400
64,Terrasini,IT,38.15,54.88,76,75,25.28,1546955400
65,Hobart,AU,-42.88,60.8,59,75,9.17,1546954200
66,Rawson,AR,-43.3,66.61,27,0,19.69,1546956968
67,Pevek,RU,69.7,-13.27,62,0,7.16,1546956968
68,Monster,NL,52.03,46.4,75,90,21.92,1546955700
69,Cabo San Lucas,MX,22.89,63.66,82,40,9.17,1546955220
70,Kahului,US,20.89,60.98,86,1,4.7,1546955760
71,Kishi,NG,9.08,86.73,24,36,7.94,1546956970
72,Hithadhoo,MV,-0.6,83.13,100,48,13.42,1546956970
73,Ardesen,TR,41.19,48.2,70,40,8.05,1546956000
74,Rio Grande,BR,-32.03,82.4,69,75,6.26,1546956000
75,Waipawa,NZ,-39.94,60.45,95,64,3.13,1546956971
76,Aklavik,CA,68.22,-20.21,75,40,4.7,1546952400
77,Portland,US,45.52,42.73,76,90,24.16,1546955580
78,Douentza,ML,15.01,83.31,19,56,6.93,1546956972
79,Srednekolymsk,RU,67.46,-23.08,34,64,2.57,1546956973
80,Bozeman,US,45.68,12.2,72,1,12.75,1546955700
81,Puerto Ayora,EC,-0.74,78.8,74,20,4.7,1546956000
82,Nerchinskiy Zavod,RU,51.31,-2.65,56,8,6.15,1546956974
83,Altoona,US,40.52,36.59,96,90,6.49,1546955700
84,Baykit,RU,61.68,2.85,62,32,9.73,1546956974
85,Westport,IE,53.8,46.4,87,40,11.41,1546956000
86,Harper,US,30.3,42.48,95,90,2.91,1546955700
87,Troitskoye,RU,52.98,4.65,60,56,4.92,1546956975
88,Flin Flon,CA,54.77,5.0,77,90,12.75,1546952400
89,Alofi,NU,-19.06,78.8,94,92,5.82,1546952400
90,Tromso,NO,69.65,32.0,90,75,1.12,1546955400
91,Chuy,UY,-33.69,82.72,97,0,6.38,1546956977
92,Arraial do Cabo,BR,-22.97,87.8,38,0,8.05,1546956000
93,Akita,JP,39.72,38.49,100,48,27.51,1546956977
94,Bubaque,GW,11.28,84.88,80,0,9.95,1546956977
95,Griffith,AU,-34.29,71.6,73,0,5.82,1546952400
96,Vila Franca do Campo,PT,37.72,62.6,72,40,18.34,1546954200
97,Khatanga,RU,71.98,-18.58,26,44,6.71,1546956978
98,Visavadar,IN,21.34,64.45,37,0,7.94,1546956979
99,Camargo,MX,27.69,46.59,90,20,3.47,1546956979
100,Okhotsk,RU,59.36,-9.22,100,64,8.61,1546956980
101,Cidreira,BR,-30.17,78.9,94,88,6.26,1546956980
102,Ahipara,NZ,-35.17,61.66,100,8,4.81,1546956980
103,Ribeira Grande,PT,38.52,64.4,82,20,27.51,1546954200
104,Mahebourg,MU,-20.41,82.4,83,75,12.75,1546956000
105,Mindelo,PT,41.31,60.33,33,0,8.05,1546954200
106,Santa Cruz,US,36.97,51.04,100,90,4.03,1546955400
107,Gonaives,HT,19.45,77.0,69,75,4.7,1546956000
108,Tianpeng,CN,28.88,39.16,100,92,10.74,1546956983
109,Port Alfred,ZA,-33.59,73.81,88,92,8.39,1546956983
110,Mersing,MY,2.43,81.1,84,68,8.39,1546956984
111,Talnakh,RU,69.49,-5.53,81,56,1.57,1546956984
112,Novobohdanivka,UA,46.87,16.65,78,75,6.71,1546956000
113,Sao Filipe,CV,14.9,76.2,85,0,11.97,1546956984
114,Balabac,PH,7.99,82.0,100,76,19.01,1546956985
115,Faya,SA,18.39,71.76,45,0,13.87,1546952400
116,Taoudenni,ML,22.68,70.44,25,20,9.62,1546956985
117,Fez,MA,34.03,60.8,29,0,5.82,1546952400
118,Roebourne,AU,-20.77,83.04,61,0,7.94,1546956986
119,Abha,SA,18.22,71.82,45,0,13.87,1546952400
120,New Norfolk,AU,-42.78,60.8,59,75,9.17,1546954200
121,Tuatapere,NZ,-46.13,52.35,100,36,5.03,1546956987
122,Linhares,BR,-19.38,86.73,60,24,8.39,1546956987
123,Muisne,EC,0.61,80.6,88,20,6.93,1546956000
124,San Patricio,PY,-26.98,74.04,100,88,3.36,1546956988
125,Mildura,AU,-34.18,71.6,43,0,13.87,1546952400
126,Acari,BR,-6.44,84.52,55,64,9.51,1546956989
127,Mataura,NZ,-46.19,45.73,86,48,2.91,1546956989
128,Bredasdorp,ZA,-34.53,77.0,53,40,11.41,1546956000
129,Kavieng,PG,-2.57,83.35,100,88,8.61,1546956990
130,Torbay,CA,47.66,21.2,85,90,25.28,1546953720
131,Ponta Delgada,PT,37.73,62.6,72,40,18.34,1546954200
132,New Haven,US,41.31,36.82,96,90,3.91,1546956480
133,Vardo,US,39.62,36.91,82,75,5.59,1546955700
134,Saint-Philippe,CA,45.36,27.21,80,90,23.04,1546954860
135,Tiksi,RU,71.64,-33.38,0,8,2.24,1546956991
136,Amapa,HN,15.09,71.6,88,20,4.7,1546956000
137,Manokwari,ID,-0.87,77.64,100,76,5.14,1546956992
138,Samarai,PG,-10.62,83.08,100,20,15.43,1546956993
139,Zeya,RU,53.74,-18.8,25,12,2.24,1546956993
140,Lebu,ET,8.96,65.49,10,0,9.4,1546956993
141,Semey,KZ,50.41,22.51,69,36,14.54,1546956993
142,Cherskiy,RU,68.75,-7.42,15,0,7.72,1546956994
143,Valdivia,CL,-39.81,55.4,87,90,5.82,1546956000
144,Dikson,RU,73.51,-8.05,94,56,10.29,1546956995
145,Barrow,AR,-38.31,78.31,40,80,10.4,1546957080
146,Along,IN,28.17,46.14,81,0,2.13,1546956996
147,Ocean City,US,30.44,54.45,100,90,2.91,1546956060
148,Coihaique,CL,-45.58,43.92,65,90,6.93,1546956000
149,Hofn,IS,64.25,38.4,100,12,6.6,1546956997
150,Kasongo-Lunda,CD,-6.48,78.18,81,88,2.68,1546956997
151,Airai,TL,-8.93,71.88,92,56,1.68,1546956997
152,Champerico,MX,16.38,66.2,88,40,2.24,1546955340
153,Kapaa,US,22.08,67.5,90,40,6.93,1546955760
154,Altamont,CA,49.4,10.4,78,88,17.22,1546954500
155,Mandalgovi,MN,45.76,-1.48,60,0,10.74,1546956998
156,Sulangan,PH,11.14,81.01,97,12,21.47,1546956998
157,Faanui,PF,-16.48,82.36,100,92,2.57,1546956999
158,Sur,OM,22.57,71.11,100,0,3.69,1546956999
159,Nancha,CN,47.14,2.17,47,0,8.28,1546956999
160,Lompoc,US,34.64,51.91,87,75,4.92,1546955760
161,Dingle,PH,11.0,76.65,82,48,15.66,1546956999
162,Nortelandia,BR,-14.45,82.23,97,36,4.92,1546957000
163,Hamilton,BM,32.3,62.6,51,75,10.29,1546955700
164,Port Blair,IN,11.67,80.92,100,68,0.45,1546957001
165,Atar,MR,20.52,84.3,11,0,5.48,1546957001
166,Salym,RU,60.06,11.08,70,92,7.61,1546957001
167,Tailai,CN,46.39,4.2,53,0,14.99,1546957001
168,Houma,CN,35.63,20.62,56,48,6.04,1546957002
169,Gizo,IL,31.8,59.94,47,40,24.16,1546955400
170,Nikolsk,RU,59.53,22.74,96,88,5.03,1546957002
171,Haines Junction,CA,60.75,-40.13,0,12,0.67,1546957002
172,Kruisfontein,ZA,-34.0,65.35,94,92,8.39,1546957003
173,Isangel,VU,-19.55,76.65,100,88,14.99,1546957003
174,Petropavlovsk-Kamchatskiy,RU,53.05,21.2,62,12,8.95,1546956000
175,Ulladulla,AU,-35.36,68.0,100,90,3.36,1546952400
176,Hami,CN,42.84,6.58,52,32,2.91,1546957003
177,Constitucion,MX,23.99,39.2,86,40,1.01,1546955400
178,Saskylakh,RU,71.97,-35.59,0,20,10.51,1546957004
179,Esperance,TT,10.24,84.2,58,40,13.87,1546956000
180,Lazaro Cardenas,MX,28.39,44.6,65,75,3.36,1546954980
181,Nikolskoye,RU,59.7,26.6,92,90,8.95,1546956000
182,Sahuaripa,MX,29.05,48.88,87,80,1.9,1546957005
183,Kamina,CD,-8.74,72.33,96,56,6.93,1546957006
184,Mogadishu,SO,2.04,80.6,74,90,16.11,1546952400
185,Nantucket,US,41.28,38.05,88,90,12.75,1546955700
186,Mitsamiouli,KM,-11.38,86.0,70,40,6.93,1546956000
187,Liberal,US,37.04,28.8,81,1,6.93,1546954500
188,Mayumba,GA,-3.44,79.98,100,64,6.15,1546957008
189,Bure,NG,10.52,77.0,15,12,10.29,1546952400
190,Holme,GB,53.7,45.84,75,0,14.99,1546955400
191,Adrar,DZ,27.87,68.0,15,0,13.87,1546952400
192,Ada,US,47.3,13.12,66,75,27.51,1546955760
193,La Rioja,AR,-29.41,86.86,48,0,6.15,1546956912
194,Provideniya,RU,64.42,6.63,100,64,32.66,1546957009
195,Muros,ES,42.77,50.85,62,0,9.17,1546954200
196,Telde,ES,27.99,68.0,60,20,5.82,1546954200
197,Guerrero Negro,MX,27.97,44.92,87,0,3.13,1546957010
198,Tomatlan,MX,19.93,67.29,83,8,2.24,1546957010
199,Avarua,CK,-21.21,68.0,82,20,2.24,1546956000
200,Junnar,IN,19.21,57.61,67,0,2.57,1546957011
201,Iranshahr,IR,27.21,71.6,37,0,6.93,1546956000
202,Bahia Blanca,AR,-38.72,79.48,46,12,14.43,1546956869
203,Rocha,UY,-34.48,83.26,79,0,8.16,1546957012
204,Klaksvik,FO,62.23,37.4,64,56,13.87,1546955400
205,Thompson,CA,55.74,5.0,77,90,13.87,1546952400
206,Skibotn,NO,69.39,31.12,92,90,12.75,1546955400
207,San Rafael del Sur,NI,11.85,77.0,73,20,11.41,1546956000
208,Caravelas,BR,-17.73,80.65,99,36,10.74,1546957013
209,Buala,SB,-8.15,77.77,100,56,5.14,1546957013
210,Leningradskiy,RU,69.38,-6.83,76,0,21.14,1546957013
211,Victoria,BN,5.28,83.39,88,75,6.93,1546956000
212,Sokoto,NG,13.06,81.91,22,48,11.74,1546957014
213,Moerai,PF,-22.43,76.29,100,8,8.16,1546957014
214,Chokurdakh,RU,70.62,-21.64,32,64,8.05,1546957015
215,Bathsheba,BB,13.22,82.4,58,20,18.34,1546956000
216,Port Elizabeth,US,39.31,40.8,100,90,6.93,1546955760
217,Sorong,ID,-0.86,81.01,100,76,13.87,1546957015
218,Castro,CL,-42.48,53.6,66,40,12.75,1546956000
219,Neiafu,TO,-18.65,80.6,94,75,13.87,1546956000
220,Zemio,CF,5.02,82.41,57,8,4.7,1546957016
221,Revda,RU,67.94,10.95,87,68,2.57,1546957016
222,Dombarovskiy,RU,50.76,-5.26,68,0,4.81,1546957017
223,Karpushikha,RU,57.5,5.73,72,88,10.18,1546957017
224,Tommot,RU,58.97,-2.11,66,64,2.35,1546957017
225,Sun Valley,US,43.7,2.97,61,90,11.41,1546955520
226,Upernavik,GL,72.79,0.87,100,76,13.09,1546956990
227,Nanortalik,GL,60.14,33.63,93,92,15.21,1546957018
228,Galesong,ID,-5.32,77.0,100,20,2.24,1546956000
229,Paranaiba,BR,-19.68,91.72,55,12,4.14,1546957019
230,Shitkino,RU,56.37,23.64,73,92,10.4,1546957019
231,East London,ZA,-33.02,73.4,78,75,9.17,1546956000
232,Novyy Urengoy,RU,66.08,-15.02,67,48,6.71,1546957019
233,Bambous Virieux,MU,-20.34,82.4,83,75,12.75,1546956000
234,Lagoa,PT,37.14,60.8,67,0,10.29,1546954200
235,Axim,GH,4.87,83.17,99,36,9.84,1546957020
236,Hambantota,LK,6.12,82.4,83,75,10.29,1546953000
237,Dudinka,RU,69.41,-10.93,72,48,8.72,1546957021
238,San Jose,PH,15.79,71.34,79,8,3.91,1546957022
239,Tabou,CI,4.42,82.81,100,24,8.95,1546957022
240,Rognan,NO,67.1,33.8,97,75,19.46,1546955400
241,Buraydah,SA,26.33,69.8,56,40,9.17,1546952400
242,Kindu,CD,-2.95,82.86,71,24,2.68,1546957022
243,Mildmay,CA,44.04,35.16,94,48,8.39,1546957023
244,Lasa,CY,34.92,54.19,50,40,25.28,1546954200
245,Morondava,MG,-20.3,86.5,79,48,7.94,1546957023
246,Touros,BR,-5.2,80.6,88,75,5.82,1546956000
247,Raudeberg,NO,61.99,37.38,80,75,16.11,1546955400
248,Aleksandro-Nevskiy,RU,53.48,6.9,86,48,8.16,1546957024
249,Souillac,FR,45.6,48.2,100,90,13.87,1546954200
250,Keti Bandar,PK,24.14,72.01,94,0,8.95,1546957024
251,Cururupu,BR,-1.82,83.76,79,92,7.27,1546957025
252,Tobermory,CA,45.25,40.06,93,68,10.96,1546957025
253,Sassandra,CI,4.95,83.13,99,8,9.62,1546957026
254,Boljevac,RS,43.83,30.2,46,0,1.12,1546956000
255,Quito,EC,-0.22,59.0,82,75,3.36,1546956000
256,Wajir,KE,1.75,98.6,18,20,8.05,1546956000
257,Saurimo,AO,-9.66,80.6,54,75,4.7,1546952400
258,Lircay,PE,-12.99,52.89,30,20,2.35,1546957027
259,Puerto Colombia,CO,10.99,78.8,83,75,6.93,1546956000
260,Nagydorog,HU,46.62,33.81,83,88,10.74,1546957028
261,Norman Wells,CA,65.28,-38.21,72,40,2.91,1546953960
262,Longyearbyen,NO,78.22,17.6,67,20,14.99,1546955400
263,Greeneville,US,36.16,53.06,62,90,3.36,1546955700
264,Katsuura,JP,33.93,46.4,49,20,21.92,1546956000
265,Shalinskoye,RU,55.72,22.87,78,80,10.74,1546957029
266,Vila Velha,BR,-3.71,80.6,78,75,9.17,1546956000
267,Montepuez,MZ,-13.13,81.78,80,56,7.72,1546957030
268,Talaya,RU,55.79,10.4,85,0,11.18,1546956000
269,Pisco,PE,-13.71,71.6,30,0,3.36,1546956000
270,Sangar,RU,63.92,-40.85,0,0,3.36,1546957030
271,Kodiak,US,39.95,38.17,75,1,16.11,1546955700
272,Lovozero,RU,68.01,10.95,87,68,2.57,1546957031
